id,name,producer,nation,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
137388,McWilliam's Hanwood Shiraz,McWilliams Wines,Australia,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,30000,2008,750
137389,"Pol Roger, Brut Reserve",Pol Roger,France,Sparkling,Appetizer,12~13,6~8,SWEET1,ACIDITY5,BODY3,TANNIN1,150000,0,750
137390,"Pol Roger, Cuvee Sir Winston Churchill",Pol Roger,France,Sparkling,Appetizer,12~13,6~8,SWEET1,ACIDITY4,BODY4,TANNIN1,500000,2012,750
137391,"Pol Roger, Brut Vintage",Pol Roger,France,Sparkling,Appetizer,12~13,6~8,SWEET1,ACIDITY5,BODY4,TANNIN1,240000,2013,750
137392,"Pol Roger, Rose Vintage",Pol Roger,France,Sparkling,Appetizer,12~13,7~9,SWEET1,ACIDITY5,BODY4,TANNIN1,250000,2012,750
137393,"Calvet, Noble Bordeaux Red",Calvet,France,Red,Table,12,16~18,SWEET2,ACIDITY4,BODY3,TANNIN3,0,2013,750
137394,"Calvet, Noble Bordeaux white",Calvet,France,White,Table,12,9~11,SWEET1,ACIDITY3,BODY2,TANNIN1,0,2005,750
137395,Vieux Chateau du Terme,Vieux Chateau du Terme,France,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,40000,2003,750
137396,"Rocca Cerrina, Moscato d'Asti",Rocca Cerrina,Italy,White,"Table, Dessert",6~7,8~10,SWEET4,ACIDITY2,BODY2,TANNIN1,30000,2017,750
137397,"Ruffino, Aziano Chianti Classico",Ruffino,Italy,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,52000,2018,750
137398,"Ruffino, Chianti",Ruffino,Italy,Red,Table,12.5,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,30000,2019,750
137399,"Ruffino, Il Leo Chianti Superiore",Ruffino,Italy,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,42000,2017,750
137400,"Ruffino, Riserva Ducale Chianti Classico Riserva",Ruffino,Italy,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY4,TANNIN3,71000,2017,750
137401,"Ruffino, Riserva Ducale Oro Chiant Classico Grand Selezione",Ruffino,Italy,Red,Table,14.5,15~18,SWEET1,ACIDITY3,BODY5,TANNIN4,110000,2015,750
137402,"Ruffino, Santedame Chianti Classico",Ruffino,Italy,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2005,750
137403,"Ruffino, Greppone Mazzi Brunello di Montalcino",Ruffino,Italy,Red,Table,14.5,15~18,SWEET1,ACIDITY3,BODY5,TANNIN4,200000,2015,750
137404,"Ruffino, Lodola Nuova, Vino Nobile di Montepulciano",Ruffino,Italy,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2007,750
137405,"Ruffino, Murotondo Orvieto Classico",Ruffino,Italy,White,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN1,0,2005,750
137406,"Ruffino, Fonte Al Sole",Ruffino,Italy,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,25000,2011,750
137407,"Ruffino, Il Ducale Toscana",Ruffino,Italy,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY4,TANNIN3,55000,2018,750
137408,"Ruffino, Modus",Ruffino,Italy,Red,Table,14.5,15~18,SWEET1,ACIDITY3,BODY5,TANNIN4,130000,2017,750
